"October 18–November 11, 1984",GALA Theatre Venue,The House of Bernarda Alba (translated from Federico García Lorca's La casa de Bernarda Alba),Past Productions,"Company: GALA Hispanic Theatre

Producer: Abel López

Director: Hugo Medrano",https://stages.blogs.rice.edu/washington-dc
"May 9-June 9, 1985",GALA Theatre Venue,The Knight From Olmedo (translated from El Caballero de Olmedo by Lope de Vega),Past Productions,"Company: GALA Hispanic Theatre

Author of translation: Jill Booty

Producers: Abel López & Hugo Medrano

Director: Hugo Medrano

Assistant Director: Lisa Ann Walter",https://stages.blogs.rice.edu/washington-dc
"October 21–November 20, 1988",GALA Theatre Venue,La zapatera prodigiosa by Lorca,Past Productions,"Company: GALA Hispanic Theatre

Producers: Abel López and Hugo Medrano

Director: Hugo Medrano

Stage Manager: Glenda Gutierrez",https://stages.blogs.rice.edu/washington-dc
"February 1–March 3, 1991",GALA Theatre Venue,The Love of Don Perlimplin With Belisa in the Garden (translated from Lorca's work),Past Productions,"Company: GALA Hispanic Theatre

Author of translation: Gwynne Edwards

Producer: Abel López

Director: Hugo Medrano

Stage Manager: Esther Pérez-Zemmels",https://stages.blogs.rice.edu/washington-dc
"March 7–April 7, 1991",GALA Theatre Venue,Amor de Don Perlimplín con Belisa en su jardín by Lorca,Past Productions,"Company: GALA Hispanic Theatre

Producer: Abel López

Director: Hugo Medrano

Stage Manager: Esther Pérez-Zemmels",https://stages.blogs.rice.edu/washington-dc
"September 24- November 1, 1992",GALA Theatre Venue,La vida es sueño by Calderón de la Barca (in Spanish with simultaneous English interpretation),Past Productions,"Company: GALA Hispanic Theatre

Producer: Abel López

Director: Hugo Medrano

Assistant Director: Gae Schmitt

Authors (of translation): Kathleen Raine and R.M. Nadal",https://stages.blogs.rice.edu/washington-dc
"February 23–April 9, 1995",GALA Theatre Venue,"Doña Rosita la soltera (o El lengauje de las flores) by Federico García Lorca, in Spanish with simultaneous English interpretation",Past Productions,"Company: GALA Hispanic Theatre

Producer: Abel López

Director: Hugo Medrano

Assistant Director: Alexandra Edwards",https://stages.blogs.rice.edu/washington-dc
"January 25–February 18, 1996",GALA Theatre Venue,"Caballero de milagro by Lope de Vega, in Spanish with simultaneous English interpretation",Past Productions,"Company: GALA Hispanic Theatre

Producer: Abel López
Director: Hugo Medrano

Assistant Director: Ed Johnson",https://stages.blogs.rice.edu/washington-dc
"April 9, 1996",GALA Theatre Venue,"Bodas de Sangre by Lorca, a bilingual adaptation",Past Productions,"Company: GALA Hispanic Theatre

A co-production with Discovery Theatre, Smithsonian Institution presented at Discovery

Author of adaptation: Cornelia Cody

Director: Cornelia Cody",https://stages.blogs.rice.edu/washington-dc
"March 13–April 6 and April 18–27, 1997",GALA Theatre Venue,"La casa de Bernarda Alba   by Lorca, in Spanish with simultaneous English interpretation",Past Productions,"Company: GALA Hispanic Theatre

Producer: Hugo Medrano

Director: Abel López

Assistant Directors: Gae Schmitt and Ed Johnson",https://stages.blogs.rice.edu/washington-dc
"January 23-25, 1998",GALA Theatre Venue,Teatro gayumba (adaptation of Don Quijote y Sancha Panza by Miguel de Cervantes),Past Productions,"Company: GALA Hispanic Theatre

Director: Manuel Chapuseaux

Author (of adaptation): Manuel Chapuseaux",https://stages.blogs.rice.edu/washington-dc
"February 11–March 21, 1999",GALA Theatre Venue,"La dama boba by Lope de Vega, in Spanish with simultaneous English interpretation",Past Productions,"Company: GALA Hispanic Theatre

Producer: Abel López

Director: Hugo Medrano

Assistant Director/Stage Manager: Laura Quiroga",https://stages.blogs.rice.edu/washington-dc
"February 24–April 2, 2000",GALA Theatre Venue,"El bulador de Sevilla y el convidado de piedra by Tirso de Molina, In Spanish with simultaneous English interpretation",Past Productions,"Company: GALA Hispanic Theatre

Author (of translation): Lynne Alvarez

Producer: Abel López

Director: Hugo Medrano

Assistant Director: Laura Quiroga

Stage Manager: José Carrasquillo",https://stages.blogs.rice.edu/washington-dc
"October 19–November 26, 2000",GALA Theatre Venue,"Así que pasan cinco años by Lorca, In Spanish with simultaneous English interpretation",Past Productions,"Company: GALA Hispanic Theatre

Author (of translation): Angel Gil Orrios

Producer: Abel López

Directors: Gabriel García and Hugo Medrano

Assistant Director: Laura Quiroga

Stage Manager: María Jimena Paz",https://stages.blogs.rice.edu/washington-dc
"February 7–March 17, 2002",GALA Theatre Venue,"La verdad sospechosa by Juan Ruiz de Alarcón, In Spanish with simultaneous English interpretation",Past Productions,"Company: GALA Hispanic Theatre

Author (of translation): Kenneth Stackhouse

Producer: Abel López

Director: Hugo Medrano

Assistant Director: Laura Quiroga

Stage Manager: María Jimena Paz",https://stages.blogs.rice.edu/washington-dc
"February 13–March 16, 2003",GALA Theatre Venue,"Cervantes: Maestro del entremés by Cervantes, In Spanish with simultaneous English interpretation",Past Productions,"Company: GALA Hispanic Theatre

Author (of translation): Dawn Smith

Producer: Abel López

Director: Hugo Medrano

Assistant Director: Laura Quiroga

Stage Manager: María Jimena Paz",https://stages.blogs.rice.edu/washington-dc
